0x2A60,"GATT Characteristic and Object Type","PLX Features",
0x2A63,"GATT Characteristic and Object Type","Cycling Power Measurement",
0x2A64,"GATT Characteristic and Object Type","Cycling Power Vector",
0x2A65,"GATT Characteristic and Object Type","Cycling Power Feature",
0x2A66,"GATT Characteristic and Object Type","Cycling Power Control Point",
0x2A67,"GATT Characteristic and Object Type","Location and Speed",
0x2A68,"GATT Characteristic and Object Type","Navigation",
0x2A69,"GATT Characteristic and Object Type","Position Quality",
0x2A6A,"GATT Characteristic and Object Type","LN Feature",
0x2A6B,"GATT Characteristic and Object Type","LN Control Point",
0x2A6C,"GATT Characteristic and Object Type","Elevation",
0x2A6D,"GATT Characteristic and Object Type","Pressure",
0x2A6E,"GATT Characteristic and Object Type","Temperature",
0x2A6F,"GATT Characteristic and Object Type","Humidity",
0x2A70,"GATT Characteristic and Object Type","True Wind Speed",
0x2A71,"GATT Characteristic and Object Type","True Wind Direction",
0x2A72,"GATT Characteristic and Object Type","Apparent Wind Speed",
0x2A73,"GATT Characteristic and Object Type","Apparent Wind Direction",
0x2A74,"GATT Characteristic and Object Type","Gust Factor",
0x2A75,"GATT Characteristic and Object Type","Pollen Concentration",
0x2A76,"GATT Characteristic and Object Type","UV Index",
0x2A77,"GATT Characteristic and Object Type","Irradiance",
0x2A78,"GATT Characteristic and Object Type","Rainfall",
0x2A79,"GATT Characteristic and Object Type","Wind Chill",
0x2A7A,"GATT Characteristic and Object Type","Heat Index",
0x2A7B,"GATT Characteristic and Object Type","Dew Point",
0x2A7D,"GATT Characteristic and Object Type"," Descriptor Value Changed",
0x2A7E,"GATT Characteristic and Object Type","Aerobic Heart Rate Lower Limit",
0x2A7F,"GATT Characteristic and Object Type","Aerobic Threshold",
0x2A80,"GATT Characteristic and Object Type","Age",
0x2A81,"GATT Characteristic and Object Type","Anaerobic Heart Rate Lower Limit",
0x2A82,"GATT Characteristic and Object Type","Anaerobic Heart Rate Upper Limit",
0x2A83,"GATT Characteristic and Object Type","Anaerobic Threshold",
0x2A84,"GATT Characteristic and Object Type","Aerobic Heart Rate Upper Limit",
0x2A85,"GATT Characteristic and Object Type","Date of Birth",
0x2A86,"GATT Characteristic and Object Type","Date of Threshold Assessment",
0x2A87,"GATT Characteristic and Object Type","Email Address",
0x2A88,"GATT Characteristic and Object Type","Fat Burn Heart Rate Lower Limit",
0x2A89,"GATT Characteristic and Object Type","Fat Burn Heart Rate Upper Limit",
0x2A8A,"GATT Characteristic and Object Type","First Name",
0x2A8B,"GATT Characteristic and Object Type","Five Zone Heart Rate Limits",
0x2A8C,"GATT Characteristic and Object Type","Gender",
0x2A8D,"GATT Characteristic and Object Type","Heart Rate Max",
0x2A8E,"GATT Characteristic and Object Type","Height",
0x2A8F,"GATT Characteristic and Object Type","Hip Circumference",
0x2A90,"GATT Characteristic and Object Type","Last Name",
0x2A91,"GATT Characteristic and Object Type","Maximum Recommended Heart Rate",
0x2A92,"GATT Characteristic and Object Type","Resting Heart Rate",
0x2A93,"GATT Characteristic and Object Type","Sport Type for Aerobic and Anaerobic Thresholds",
0x2A94,"GATT Characteristic and Object Type","Three Zone Heart Rate Limits",
0x2A95,"GATT Characteristic and Object Type","Two Zone Heart Rate Limits",
0x2A96,"GATT Characteristic and Object Type","VO2 Max",
0x2A97,"GATT Characteristic and Object Type","Waist Circumference",
0x2A98,"GATT Characteristic and Object Type","Weight",
0x2A99,"GATT Characteristic and Object Type","Database Change Increment",
0x2A9A,"GATT Characteristic and Object Type","User Index",
0x2A9B,"GATT Characteristic and Object Type","Body Composition Feature",
0x2A9C,"GATT Characteristic and Object Type","Body Composition Measurement",
0x2A9D,"GATT Characteristic and Object Type","Weight Measurement",
0x2A9E,"GATT Characteristic and Object Type","Weight Scale Feature",
0x2A9F,"GATT Characteristic and Object Type","User Control Point",
0x2AA0,"GATT Characteristic and Object Type","Magnetic Flux Density - 2D",
0x2AA1,"GATT Characteristic and Object Type","Magnetic Flux Density - 3D",
0x2AA2,"GATT Characteristic and Object Type","Language",
0x2AA3,"GATT Characteristic and Object Type","Barometric Pressure Trend",
0x2AA4,"GATT Characteristic and Object Type","Bond Management Control Point",
0x2AA5,"GATT Characteristic and Object Type","Bond Management Feature",
0x2AA6,"GATT Characteristic and Object Type","Central Address Resolution",
0x2AA7,"GATT Characteristic and Object Type","CGM Measurement",
0x2AA8,"GATT Characteristic and Object Type","CGM Feature",
0x2AA9,"GATT Characteristic and Object Type","CGM Status",
0x2AAA,"GATT Characteristic and Object Type","CGM Session Start Time",
0x2AAB,"GATT Characteristic and Object Type","CGM Session Run Time",
0x2AAC,"GATT Characteristic and Object Type","CGM Specific Ops Control Point",
0x2AAD,"GATT Characteristic and Object Type","Indoor Positioning Configuration",
0x2AAE,"GATT Characteristic and Object Type","Latitude",
0x2AAF,"GATT Characteristic and Object Type","Longitude",
0x2AB0,"GATT Characteristic and Object Type","Local North Coordinate",
0x2AB1,"GATT Characteristic and Object Type","Local East Coordinate",
